pmv,ppd
0.29,6.7
0.29,6.7
0.29,6.7
0.29,6.8
0.29,6.8
0.3,6.8
0.31,6.9
0.31,7.0
0.31,7.0
0.31,7.0
0.32,7.1
0.33,7.2
0.33,7.2
0.34,7.4
0.33,7.2
0.33,7.2
0.33,7.3
0.34,7.4
0.34,7.4
0.34,7.4
0.34,7.4
0.33,7.3
0.34,7.4
0.33,7.3
0.33,7.2
0.33,7.2
0.32,7.2
0.32,7.1
0.31,7.0
0.3,6.9
0.3,6.9
0.3,6.8
0.29,6.7
0.28,6.7
0.28,6.7
0.28,6.6
0.28,6.6
0.27,6.5
0.27,6.5
0.26,6.4
